1,"Ananas, frisch",1
2,Artischocken,1
3,Entenbrust,2
4,Rinderbraten,2
5,Bauchfleisch,2
6,Blutwurst,2
7,Aal,4
9,Baguette,6
10,Cola,7
11,ASS-Kopfschmerzmittel,8
12,Backpulver,9
13,Ananas(Dose/Glas),10
14,Anis,11
15,Fischfutter,12
16,Cornflakes,13
18,Besen,15
19,Bretzeln,16
20,Brokkolicremsuppe,17
21,Eiskreme,18
22,Deodorant,19
23,Batterien,20
24,Erdnussbutter,21
25,Äpfel,1
26,Blumenkohl,1
27,Ganzes Hähnchen,2
28,Rinderfilet,2
29,Bratwurst,2
30,Bratenaufschnitt,2
31,Forelle,4
33,Brötchen,6
34,Kaffee,27
35,Augentropfen,8
36,Brauner Zucker,9
37,Birnen (Dose/Glas),10
38,Basilikum,11
39,Hundefutter,12
40,Graupen,13
42,Fleckentferner,15
43,Erdnüsse,16
44,Brühe,17
45,Pizza,18
46,Duschbad,19
47,Blumen,20
48,Fonds,21
49,Aprikosen,1
50,Bohnen,1
51,Geflügelhack,2
52,Rinderhack,2
53,Kassler,2
54,Fleischwurst,2
55,Garnelen,4
57,Croissants,6
58,Limonade,7
59,Hustenmittel,8
60,Haselnüsse,9
61,Bockwurst (Dose/Glas),10
62,Bohnenkraut,11
63,Katzenfutter,12
66,Fußbodenreiniger,15
67,Kartoffelchips,16
68,Champignoncremsuppe,17
69,Pommes Frites,18
70,Flüssigseife,19
71,Bücher,20
72,Grillsauce,21
73,Bananen,1
74,Brokkoli,1
75,Hähnchenkeule,2
76,Rindernacken,2
77,Kohlwurst,2
78,Geflügelwurst,2
79,Hering,4
81,Körnerbrötchen,6
82,Orangensaft,7
83,Ibuprofen,8
84,Keksmischung,9
85,Bohnen (Dose/Glas),10
86,Cayennepfeffer,11
87,Katzenstreu,12
88,Kochbeutelreis,13
90,Geschirrspültabs,15
91,Kekse,16
92,Gemüsesuppe,17
93,TK- Brokkoli,18
94,Hygieneartikel,19
95,CD,20
97,Beeren,1
98,Champignons,1
99,Hähnchenschnitzel,2
100,Rinderrippchen,2
101,Mettwurst,2
102,Leberwurst,2
103,Hummer,4
105,Kuchen,6
106,Saft,7
107,Magen/Darm-Präparate,8
108,Kokosraspeln,9
109,Eintopf (Dose/Glas),10
110,Curry,11
111,Vogelfutter,12
112,Lasagnenudeln,13
114,Glasreiniger,15
115,Kräcker,16
116,Hühnersuppe,17
117,TK- Erbsen,18
118,Körperlotion,19
119,DVD,20
120,Ketchup,21
121,Birnen,1
122,Chicorée,1
123,Hühnerbrustfilet,2
124,Rinderrouladen,2
125,Rollbraten,2
126,Salami,2
127,Kabeljau,4
129,Laugengebäck,6
130,Sportgetränke,7
131,Medikamente auf Rezept,8
132,Krokant,9
133,Erbsen (Dose/Glas),10
134,Dill,11
135,Makkaroni,13
137,Haushaltshandschuhe,15
138,Popcorn,16
139,Nudelsuppe,17
140,TK- Fisch,18
141,Mundspülung,19
142,Geschenk,20
144,Datteln,1
145,Eisbergsalat,1
146,Hühnerflügel,2
